2	,google	,google.com
11	,adobe	,adobe.com
16	,youtu	,youtu.be
20	,vimeo	,vimeo.com
22	,github	,github.com
24	,europa	,europa.eu
25	,uol	,uol.com.br
30	,amazon	,amazon.com
31	,live	,live.com
33	,bbc	,bbc.co.uk
36	,line	,line.me
37	,opera	,opera.com
38	,nih	,nih.gov
40	,msn	,msn.com
46	,cnn	,cnn.com
48	,medium	,medium.com
49	,yahoo	,yahoo.com
53	,mail	,mail.ru
63	,forbes	,forbes.com
69	,cnet	,cnet.com
71	,paypal	,paypal.com
75	,imdb	,imdb.com
78	,nypost	,nypost.com
79	,globo	,globo.com
80	,change	,change.org
83	,gov	,gov.uk
88	,bit	,bit.ly
89	,ted	,ted.com
101	,nasa	,nasa.gov
104	,fandom	,fandom.com
110	,terra	,terra.com.br
111	,elpais	,elpais.com
113	,aol	,aol.com
117	,ebay	,ebay.com
119	,wsj	,wsj.com
122	,abril	,abril.com.br
123	,gnu	,gnu.org
126	,wix	,wix.com
127	,wired	,wired.com
128	,thesun	,thesun.co.uk
129	,yelp	,yelp.com
130	,issuu	,issuu.com
131	,cpanel	,cpanel.net
139	,hatena	,hatena.ne.jp
142	,scribd	,scribd.com
145	,bing	,bing.com
146	,oracle	,oracle.com
147	,apache	,apache.org
151	,goo	,goo.gl
152	,disqus	,disqus.com
153	,wikia	,wikia.com
160	,plesk	,plesk.com
169	,target	,target.com
172	,weebly	,weebly.com
173	,ovh	,ovh.com
174	,weibo	,weibo.com
175	,sky	,sky.com
180	,nokia	,nokia.com
181	,quora	,quora.com
182	,so-net	,so-net.ne.jp
187	,lycos	,lycos.com
194	,cbc	,cbc.ca
197	,cdc	,cdc.gov
199	,noaa	,noaa.gov
202	,zdnet	,zdnet.com
203	,unesco	,unesco.org
206	,who	,who.int
215	,metro	,metro.co.uk
224	,smh	,smh.com.au
225	,ibm	,ibm.com
226	,xbox	,xbox.com
228	,yale	,yale.edu
229	,dell	,dell.com
232	,yandex	,yandex.ru
233	,about	,about.me
236	,time	,time.com
241	,asus	,asus.com
242	,gmail	,gmail.com
243	,rtve	,rtve.es
246	,ikea	,ikea.com
247	,webmd	,webmd.com
248	,sedo	,sedo.com
250	,bund	,bund.de
255	,naver	,naver.com
257	,npr	,npr.org
261	,vox	,vox.com
263	,twitch	,twitch.tv
265	,yadi	,yadi.sk
268	,dan	,dan.com
269	,nature	,nature.com
270	,ggpht	,ggpht.com
271	,cnbc	,cnbc.com
276	,nginx	,nginx.org
284	,disney	,disney.com
290	,news	,news.com.au
291	,ria	,ria.ru
299	,ign	,ign.com
300	,welt	,welt.de
301	,ietf	,ietf.org
303	,skype	,skype.com
305	,loc	,loc.gov
309	,mit	,mit.edu
318	,php	,php.net
319	,pbs	,pbs.org
320	,umich	,umich.edu
321	,bitly	,bitly.com
323	,net	,net.au
330	,nvidia	,nvidia.com
332	,intel	,intel.com
337	,ytimg	,ytimg.com
338	,orange	,orange.fr
339	,ucoz	,ucoz.ru
341	,mysql	,mysql.com
342	,abc	,abc.es
347	,mega	,mega.nz
348	,usnews	,usnews.com
349	,cisco	,cisco.com
351	,office	,office.com
355	,sapo	,sapo.pt
358	,mirror	,mirror.co.uk
360	,digg	,digg.com
368	,vice	,vice.com
371	,espn	,espn.com
372	,box	,box.com
374	,nikkei	,nikkei.com
378	,seesaa	,seesaa.net
387	,etsy	,etsy.com
389	,wiley	,wiley.com
393	,utexas	,utexas.edu
394	,jstor	,jstor.org
398	,sina	,sina.com.cn
399	,fc2	,fc2.com
400	,ameblo	,ameblo.jp
403	,sfgate	,sfgate.com
419	,slate	,slate.com
420	,ndtv	,ndtv.com
422	,youku	,youku.com
425	,ask	,ask.fm
426	,jquery	,jquery.com
428	,home	,home.pl
429	,uiuc	,uiuc.edu
430	,xing	,xing.com
433	,ftc	,ftc.gov
434	,narod	,narod.ru
435	,dreniq	,dreniq.com
436	,plos	,plos.org
437	,inc	,inc.com
439	,daum	,daum.net
440	,arxiv	,arxiv.org
441	,ieee	,ieee.org
442	,prezi	,prezi.com
449	,alexa	,alexa.com
453	,joomla	,joomla.org
455	,pcmag	,pcmag.com
461	,axs	,axs.com
463	,eff	,eff.org
464	,oup	,oup.com
467	,nyu	,nyu.edu
468	,airbnb	,airbnb.com
469	,usgs	,usgs.gov
470	,stuff	,stuff.co.nz
475	,cmu	,cmu.edu
478	,ehow	,ehow.com
479	,fda	,fda.gov
480	,flickr	,flickr.com
485	,fifa	,fifa.com
486	,house	,house.gov
488	,detik	,detik.com
489	,icann	,icann.org
492	,gen	,gen.xyz
497	,people	,people.com
499	,sakura	,sakura.ne.jp
